Week,Entries
2022-02-21,0
2022-02-28,0
2022-03-07,0
2022-03-14,0
2022-03-21,0
2022-03-28,0
2022-04-04,0
2022-04-11,0
2022-04-18,0
2022-04-25,0
2022-05-02,0
2022-05-09,0
2022-05-16,0
2022-05-23,0
2022-05-30,0
2022-06-06,0
2022-06-13,0
2022-06-20,0
2022-06-27,0
2022-07-04,0
2022-07-11,0
2022-07-18,0
2022-07-25,0
2022-08-01,0
2022-08-08,1
2022-08-15,1
2022-08-22,4
2022-08-29,6
2022-09-05,2
2022-09-12,1
2022-09-19,1
2022-09-26,0
2022-10-03,4
2022-10-10,1
2022-10-17,0
2022-10-24,0
2022-10-31,1
2022-11-07,0
2022-11-14,1
2022-11-21,0
2022-11-28,0
2022-12-05,0
2022-12-12,1
2022-12-19,2
2022-12-26,0
2023-01-02,0
2023-01-09,4
2023-01-16,1
2023-01-23,0
2023-01-30,0
2023-02-06,3
2023-02-13,1
2023-02-20,0
2023-02-27,0
2023-03-06,0
2023-03-13,0
2023-03-20,0
2023-03-27,0
2023-04-03,0
2023-04-10,1
2023-04-17,0
2023-04-24,0
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,0
2023-10-02,0
2023-10-09,0
2023-10-16,0
2023-10-23,1
2023-10-30,0
2023-11-06,0
2023-11-13,0
2023-11-20,1
2023-11-27,3
2023-12-04,5
2023-12-11,3
2023-12-18,6
2023-12-25,4
2024-01-01,3
2024-01-08,2
2024-01-15,1
2024-01-22,0
2024-01-29,1
2024-02-05,0
2024-02-12,0
2024-02-19,0
2024-02-26,0
2024-03-04,0
2024-03-11,0
2024-03-18,0
2024-03-25,0
2024-04-01,0
2024-04-08,0
2024-04-15,0
2024-04-22,0
2024-04-29,0
2024-05-06,1
2024-05-13,0
2024-05-20,0
2024-05-27,0
2024-06-03,0
2024-06-10,0
2024-06-17,0
2024-06-24,0
